X1_demo3,X2_demo3,Y_demo3
6.7657,0,-0.00067512
6.8128,0,-0.000698
6.8637,0,-0.0010108
6.9145,0,-0.0012205
6.9661,0,-0.0021628
7.0116,0,-0.0032727
7.0648,0,-0.0021818
7.1154,0,-0.0014762
7.1655,0,-0.0020865
7.2145,0,0.029519
7.2636,0,0.041165
7.3184,0,0.053416
7.3648,0,0.066002
7.4158,0,0.066063
7.4666,0,0.067142
7.5145,0,0.065018
7.5655,0,0.065355
7.6163,0,0.064992
7.6669,0,0.065736
7.7122,0,0.066053
7.7718,0,0.065643
7.8142,0,0.066321
7.8665,0,0.065837
7.9141,0,0.066173
7.964,0,0.064457
8.0156,0,0.066577
8.0621,0,0.066741
8.1133,0,0.065925
8.1667,0,0.06629
8.2137,0,0.065954
8.2655,0,0.065805
8.3132,0,0.065832
8.3644,0,0.066355
8.4167,0,0.066214
8.4639,0,0.066042
8.5153,0,0.066157
8.5654,0,0.066849
8.6161,0,0.065438
8.6672,0,0.065598
8.7133,0,0.066456
8.7652,0,0.066696
8.8118,0,0.065811
8.8631,0,0.066654
8.9135,0,0.068058
8.965,0,0.066152
9.0157,0,0.065012
9.0682,0,0.06685
9.1142,0,0.06428
9.1647,0,0.06683
9.2154,0,0.066067
9.2604,0,0.066819
9.3172,0,0.065106
9.3659,0,0.066027
9.4141,0,0.065451
9.4653,0,0.065943
9.5138,0,0.066316
9.5632,0,0.064977
9.6153,0,0.065424
9.6664,0,0.06619
9.7178,0,0.066728
9.7631,0,0.066158
9.8142,0,0.066731
9.8652,0,0.066162
9.9166,0,0.065697
9.9635,0,0.065177
1.9977,500,-0.0016971
2.0704,500,-0.00086952
2.116,500,-0.0012318
2.1663,500,0.00051866
2.2856,500,-0.0012089
2.4025,500,-0.0018649
2.4874,500,-0.001701
2.5585,500,-0.00059887
2.6455,500,-0.0021514
2.7415,500,-0.0016099
2.8186,500,-0.0015717
2.8621,500,-0.0014611
2.9372,500,-0.001194
3.0435,500,-0.0013085
3.1339,500,-0.0011863
3.2221,500,-0.0015028
3.2689,500,-0.0023038
3.3111,500,-0.0004997
3.3541,500,3.8145e-06
3.4129,500,-0.00081249
3.4732,500,-0.00028227
3.5225,500,-0.0034407
3.5743,500,-0.00050733
3.6247,500,-0.0021094
3.6676,500,-0.0020141
3.7177,500,-0.00065608
3.7628,500,-0.0025747
3.8121,500,-0.00014113
3.8614,500,-0.0020063
3.9118,500,0.00017925
3.9652,500,-0.0017506
4.0175,500,-0.0016819
4.0675,500,0.00031277
4.1206,500,-0.0011252
4.1686,500,-0.00040814
4.2127,500,-0.00024031
4.2752,500,-0.0015067
4.3188,500,-0.00076274
4.3678,500,-0.0007094
4.4084,500,-0.0013959
4.4647,500,-0.00098418
4.52,500,-0.0018692
4.5759,500,-0.00076674
4.6804,500,-0.00019073
4.8173,500,-0.002262
4.8641,500,-0.0015449
4.9123,500,-0.0021974
4.9659,500,-0.0007668
5.0184,500,-0.002308
5.0675,500,-6.1058e-05
5.119,500,-0.00059124
5.1658,500,-0.0017852
5.2172,500,-4.1959e-05
5.2676,500,-0.0010528
5.3172,500,-0.0021895
5.3656,500,-0.0010261
5.4188,500,-0.0014609
5.4624,500,-0.00086588
5.5121,500,-0.0017279
5.5661,500,-0.0019796
5.6162,500,-0.00111
5.6644,500,-0.0019682
5.7174,500,-0.0022048
5.7678,500,-0.0019721
5.8185,500,-0.00098033
5.8645,500,-0.00046537
5.9193,500,-0.00052638
5.9622,500,1.9072e-05
6.0124,500,-0.00097647
6.0638,500,-0.00073998
6.1126,500,0.0022048
6.1644,500,0.01485
6.2139,500,0.016967
6.2665,500,0.023097
6.317,500,0.03368
6.3639,500,0.045318
6.4142,500,0.058326
6.4615,500,0.06552
6.518,500,0.079716
6.5666,500,0.088314
6.6139,500,0.081726
6.6653,500,0.071339
6.7159,500,0.069094
6.7641,500,0.068571
6.8144,500,0.067454
6.8674,500,0.06737
6.9175,500,0.065227
6.9631,500,0.066227
7.0161,500,0.066147
7.0675,500,0.06551
7.1142,500,0.067053
7.1663,500,0.066873
7.2113,500,0.065248
