h,t,m
42000.0,29.20448,0.06967212
42000.0,29.70382,0.06950828
42000.0,30.21648,0.06932353
42000.0,30.86105,0.06910974
42000.0,31.24717,0.06895815
42000.0,31.694,0.0687886
42000.0,32.18877,0.06858531
42000.0,32.69965,0.0683834
42000.0,33.18547,0.06816538
42000.0,33.68207,0.06795827
42000.0,34.21348,0.06771522
42000.0,34.68404,0.06748614
42000.0,35.19197,0.06722612
42000.0,35.68972,0.06697411
42000.0,36.17259,0.06671236
42000.0,36.70463,0.06640089
42000.0,37.20454,0.06609967
42000.0,37.73494,0.06574941
42000.0,38.21937,0.0653979
42000.0,38.67532,0.06484785
42000.0,39.19248,0.06383482
42000.0,39.71558,0.06212844
42000.0,40.20501,0.0562582
42000.0,40.70019,0.05124934
42000.0,41.1872,0.04768324
42000.0,41.67724,0.0456212
42000.0,42.19905,0.04446775
42000.0,42.69676,0.04357712
42000.0,43.21742,0.04267501
42000.0,43.70131,0.04175802
42000.0,44.17997,0.04109371
42000.0,44.70242,0.04033645
42000.0,45.20532,0.03961633
42000.0,45.69356,0.03893562
42000.0,46.19652,0.03825359
42000.0,46.69343,0.03761004
42000.0,47.18564,0.03698807
42000.0,47.68414,0.03636644
42000.0,48.19244,0.03584621
42000.0,48.69122,0.03517602
42000.0,49.19145,0.03456281
42000.0,49.70062,0.03402844
42000.0,50.19089,0.03347243
42000.0,50.84172,0.03276737
42000.0,51.21199,0.03236368
42000.0,51.6921,0.03191281
42000.0,52.19382,0.03142668
42000.0,52.70797,0.03093454
42000.0,53.1807,0.03047993
42000.0,53.69681,0.030025
42000.0,54.18414,0.02959332
42000.0,54.67607,0.02916951
42000.0,55.19871,0.0287187
42000.0,55.70612,0.02831903
42000.0,56.18509,0.02793099
42000.0,56.69635,0.02753043
42000.0,57.16997,0.02717328
42000.0,57.71013,0.02675042
42000.0,58.199,0.02642559
42000.0,58.6796,0.0260847
42000.0,59.1784,0.025738
42000.0,59.69468,0.02537484
42000.0,59.99203,0.02517596
40000.0,10.02768,0.07206457
40000.0,10.68216,0.07206098
40000.0,11.16612,0.07206056
40000.0,11.67605,0.07203848
40000.0,12.14347,0.07203111
40000.0,12.69612,0.07201226
40000.0,13.2004,0.07201085
40000.0,13.70298,0.0719901
40000.0,14.19475,0.07197689
40000.0,14.68114,0.07195709
40000.0,15.20423,0.07194936
40000.0,15.6629,0.07192323
40000.0,16.1824,0.07190054
40000.0,16.69068,0.07187338
40000.0,17.18324,0.07184604
40000.0,17.68184,0.07181036
40000.0,18.20448,0.0717667
40000.0,18.70739,0.07172974
40000.0,19.18064,0.07168598
40000.0,19.68109,0.0716401
40000.0,20.18676,0.07157939
40000.0,20.69568,0.07152392
40000.0,21.19537,0.07144649
40000.0,21.70878,0.07137357
40000.0,22.21003,0.0712966
40000.0,22.68793,0.07122444
40000.0,23.19432,0.07112718
40000.0,23.70161,0.0710253
40000.0,24.18564,0.07092955
40000.0,24.695,0.07081883
40000.0,25.19279,0.0707145
40000.0,25.69152,0.07060023
40000.0,26.20405,0.07046518
40000.0,26.68653,0.07033814
40000.0,27.19426,0.07019684
40000.0,27.68049,0.07005525
40000.0,28.19772,0.06990323
40000.0,28.69751,0.06973404
40000.0,29.21151,0.06956897
40000.0,29.6984,0.06940849
40000.0,30.20335,0.0692343
40000.0,30.83844,0.06900191
40000.0,31.22245,0.06885124
40000.0,31.71822,0.06848055
40000.0,32.1769,0.06846794
40000.0,32.69831,0.06824318
40000.0,33.19357,0.06802119
40000.0,33.71137,0.06779986
40000.0,34.19503,0.06763808
40000.0,34.70135,0.06731009
40000.0,35.19099,0.06705679
40000.0,35.71198,0.06677869
40000.0,36.18134,0.06651281
40000.0,36.72215,0.06619298
40000.0,37.1959,0.06588785
40000.0,37.69817,0.06554619
40000.0,38.18867,0.06512868
40000.0,38.70198,0.06429856
40000.0,39.20492,0.06313966
40000.0,39.69553,0.05918134
40000.0,40.19029,0.05248772
40000.0,40.6913,0.04799859
40000.0,41.19308,0.04525726
40000.0,41.70226,0.04400954
40000.0,42.18763,0.04305632
40000.0,42.70771,0.04214125
40000.0,43.19706,0.04130365
40000.0,43.68404,0.04051228
40000.0,44.20485,0.03974535
40000.0,44.69564,0.03900783
40000.0,45.17418,0.03834061
40000.0,45.6935,0.03762633
40000.0,46.19505,0.03694964
40000.0,46.68537,0.03633738
40000.0,47.20062,0.03567125
40000.0,47.68658,0.03509083
40000.0,48.19675,0.03447905
40000.0,48.69736,0.033899
40000.0,49.20378,0.03332164
40000.0,49.69442,0.03276827
40000.0,50.2037,0.03222461
40000.0,50.82788,0.03156332
40000.0,51.20916,0.0311478
40000.0,51.69402,0.03069456
40000.0,52.19181,0.03020731
40000.0,52.70303,0.02975177
40000.0,53.20295,0.02922144
40000.0,53.68034,0.02885887
40000.0,54.18416,0.02842072
40000.0,54.69297,0.02802729
40000.0,55.1954,0.02759865
40000.0,55.71812,0.02718342
40000.0,56.19519,0.02681406
40000.0,56.71781,0.02642119
40000.0,57.18838,0.0260436
40000.0,57.70086,0.02572017
40000.0,58.18719,0.02534643
40000.0,58.68802,0.02501068
40000.0,59.1759,0.02467388
40000.0,59.69344,0.02433476
40000.0,59.99452,0.02413582
38000.0,9.998936,0.07203079
38000.0,10.67137,0.07200372
38000.0,11.16767,0.07199233
38000.0,11.68279,0.07198849
38000.0,12.20251,0.07197658
38000.0,12.68612,0.07196663
38000.0,13.187,0.0719544
38000.0,13.69761,0.07194149
38000.0,14.20436,0.07192176
38000.0,14.70225,0.07190768
38000.0,15.20111,0.07189284
38000.0,15.68415,0.07187462
38000.0,16.19168,0.07184614
38000.0,16.6951,0.0718255
38000.0,17.18607,0.07179318
38000.0,17.68882,0.0717674
38000.0,18.20342,0.07171688
38000.0,18.68803,0.07168254
38000.0,19.18584,0.07162967
38000.0,19.69474,0.07157689
38000.0,20.18687,0.07151453
38000.0,20.70844,0.07144874
38000.0,21.18946,0.0713796
38000.0,21.68402,0.0713115
38000.0,22.20072,0.0712311
38000.0,22.68724,0.07114955
38000.0,23.18607,0.07105327
38000.0,23.69246,0.07095107
38000.0,24.19221,0.07085796
38000.0,24.69046,0.07073797
38000.0,25.19637,0.07062032
38000.0,25.69646,0.0705013
38000.0,26.20044,0.07037297
38000.0,26.67582,0.07036055
38000.0,27.18475,0.07009645
38000.0,27.70879,0.06994385
38000.0,28.21437,0.06978155
38000.0,28.68011,0.06962931
38000.0,29.19125,0.06945751
38000.0,29.6993,0.06928696
38000.0,30.20127,0.0691127
38000.0,30.81002,0.06888707
38000.0,31.2135,0.06871559
38000.0,31.68666,0.06852699
38000.0,32.20127,0.06830151
38000.0,32.70271,0.06808173
38000.0,33.18421,0.06786793
38000.0,33.70311,0.06762502
38000.0,34.19415,0.06739181
38000.0,34.69427,0.06713293
38000.0,35.18552,0.06686658
38000.0,35.70016,0.06658752
38000.0,36.20832,0.06628593
38000.0,36.70104,0.06598168
38000.0,37.20937,0.06564023
38000.0,37.68768,0.06528381
38000.0,38.20346,0.0646812
38000.0,38.68347,0.06361774
38000.0,39.18711,0.06172151
38000.0,39.69923,0.05406978
38000.0,40.18766,0.04886438
38000.0,40.69518,0.04503033
38000.0,41.19369,0.04350023
38000.0,41.6693,0.04252494
38000.0,42.21135,0.04153194
38000.0,42.70988,0.04068087
38000.0,43.18789,0.0398853
38000.0,43.69977,0.03908416
38000.0,44.20786,0.03831694
38000.0,44.68153,0.03763428
38000.0,45.18859,0.03697373
38000.0,45.67256,0.03627806
38000.0,46.21313,0.03557691
38000.0,46.69586,0.03495393
38000.0,47.18077,0.03436306
38000.0,47.70332,0.03374086
38000.0,48.20096,0.03318575
38000.0,48.69651,0.03260124
38000.0,49.18436,0.0321322
38000.0,49.72045,0.03145213
38000.0,50.18541,0.03096019
38000.0,50.81302,0.03032644
38000.0,51.20262,0.0299309
38000.0,51.69695,0.0294634
38000.0,52.18501,0.02900551
38000.0,52.71496,0.02851517
38000.0,53.19386,0.02809934
38000.0,53.68653,0.02768327
38000.0,54.19146,0.02724714
38000.0,54.68565,0.02683626
38000.0,55.20298,0.02644075
38000.0,55.67762,0.02606526
38000.0,56.20509,0.02567093
38000.0,56.67709,0.02532263
38000.0,57.20784,0.02494163
38000.0,57.69386,0.02461026
38000.0,58.20371,0.02426199
38000.0,58.70248,0.02392828
38000.0,59.2162,0.02358113
38000.0,59.69215,0.02327583
38000.0,59.99203,0.0230848
36000.0,10.0156,0.07198907
36000.0,10.69662,0.07197502
36000.0,11.16133,0.07196314
36000.0,11.68221,0.07195083
36000.0,12.17343,0.07194784
36000.0,12.70111,0.07193278
36000.0,13.20016,0.07191097
36000.0,13.69306,0.07191171
36000.0,14.20003,0.07189499
36000.0,14.7144,0.07187337
36000.0,15.20249,0.07185526
36000.0,15.69075,0.07183614
36000.0,16.19563,0.07180917
36000.0,16.68766,0.0717862
36000.0,17.19468,0.07175202
36000.0,17.69432,0.07171535
36000.0,18.18811,0.07166874
36000.0,18.73114,0.07162961
36000.0,19.22643,0.07157673
36000.0,19.69971,0.0715249
36000.0,20.20722,0.07146505
36000.0,20.69535,0.07139932
36000.0,21.1874,0.0713275
36000.0,21.70498,0.0712487
36000.0,22.19162,0.07117213
36000.0,22.70723,0.07107448
36000.0,23.18183,0.0711506
36000.0,23.68324,0.07088282
36000.0,24.1831,0.07077632
36000.0,24.6772,0.07067926
36000.0,25.199,0.07054421
36000.0,25.67863,0.07041946
36000.0,26.20694,0.07027856
36000.0,26.67884,0.07015104
36000.0,27.19194,0.06998812
36000.0,27.70337,0.06984343
36000.0,28.19591,0.0696611
36000.0,28.70451,0.06951362
36000.0,29.19915,0.06933808
