Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,Unnamed: 30
1627023611.914,,50000.0,38.70932,0.06049349,0.0,3,0.9973995,0.0,,,,,,,,,,,,,,32,1,4.0,0.3878098,0.0,0,0,0,
1627023655.763,,50000.0,39.23864,0.05987575,0.0,3,0.9973016,0.0,,,,,,,,,,,,,,32,1,4.0,0.3662109,0.0,0,0,0,
1627023698.401,,50000.0,39.73152,0.05930886,0.0,3,0.9975756,0.0,,,,,,,,,,,,,,32,1,4.0,0.3390999,0.0,0,0,0,
1627023740.912,,50000.0,40.19761,0.05883273,0.0,3,0.9974986,0.0,,,,,,,,,,,,,,32,1,4.0,0.3336716,0.0,0,0,0,
1627023787.626,,50000.0,40.70786,0.05813245,0.0,3,0.9974111,0.0,,,,,,,,,,,,,,32,1,4.0,0.2968483,0.0,0,0,0,
1627023836.385,,50000.0,41.21713,0.05731792,0.0,3,0.9972959,0.0,,,,,,,,,,,,,,32,1,4.0,0.4104805,0.0,0,0,0,
1627023879.491,,50000.0,41.72634,0.05617486,0.0,3,0.9971319,0.0,,,,,,,,,,,,,,32,1,4.0,0.3468208,0.0,0,0,0,
1627023923.642,,50000.0,42.19581,0.05418916,0.0,3,0.9959149,0.0,,,,,,,,,,,,,,32,1,4.0,0.365757,0.0,0,0,0,
1627023968.686,,50000.0,42.67786,0.04999999,0.0,3,0.9961759,0.0,,,,,,,,,,,,,,32,1,4.0,0.3483925,0.0,0,0,0,
1627024014.679,,50000.0,43.18018,0.04759728,0.0,3,0.996676,0.0,,,,,,,,,,,,,,32,1,4.0,0.3597908,0.0,0,0,0,
1627024061.625,,50000.0,43.70377,0.04526029,0.0,3,0.9966587,0.0,,,,,,,,,,,,,,32,1,4.0,0.3931923,0.0,0,0,0,
1627024103.214,,50000.0,44.16157,0.04363145,0.0,3,0.9967288,0.0,,,,,,,,,,,,,,32,1,4.0,0.2999687,0.0,0,0,0,
1627024151.585,,50000.0,44.696,0.04230662,0.0,3,0.997215,0.0,,,,,,,,,,,,,,32,1,4.0,0.380722,0.0,0,0,0,
1627024195.697,,50000.0,45.17549,0.04058393,0.0,3,0.98505,0.0,,,,,,,,,,,,,,32,1,4.0,0.3470001,0.0,0,1,0,
1627024241.796,,50000.0,45.69987,0.04068015,0.0,3,0.9973163,0.0,,,,,,,,,,,,,,32,1,4.0,0.3804016,0.0,0,1,0,
1627024287.192,,50000.0,46.20416,0.03999663,0.0,3,0.9972547,0.0,,,,,,,,,,,,,,32,1,4.0,0.3815002,0.0,0,1,0,
1627024328.274,,50000.0,46.70689,0.03936628,0.0,3,0.9973683,0.0,,,,,,,,,,,,,,32,1,4.0,0.3213692,0.0,0,1,0,
1627024376.08,,50000.0,47.19183,0.03868635,0.0,3,0.9972228,0.0,,,,,,,,,,,,,,32,1,4.0,0.3632584,0.0,0,1,0,
1627024421.669,,50000.0,47.69891,0.03810292,0.0,3,0.9971371,0.0,,,,,,,,,,,,,,32,1,4.0,0.3634911,0.0,0,1,0,
1627024465.56,,50000.0,48.18747,0.03751959,0.0,3,0.997115,0.0,,,,,,,,,,,,,,32,1,4.0,0.3747101,0.0,0,1,0,
1627024512.066,,50000.0,48.73607,0.03691074,0.0,3,0.9972186,0.0,,,,,,,,,,,,,,32,1,4.0,0.4415016,0.0,0,1,0,
1627024555.264,,50000.0,49.17719,0.036375,0.0,3,0.9972484,0.0,,,,,,,,,,,,,,32,1,4.0,0.3394318,0.0,0,1,0,
1627024597.811,,50000.0,49.68469,0.03585656,0.0,3,0.9971708,0.0,,,,,,,,,,,,,,32,1,4.0,0.3491173,0.0,0,1,0,
1627024643.967,,50000.0,50.18683,0.03533822,0.0,3,0.9971759,0.0,,,,,,,,,,,,,,32,1,4.0,0.3698616,0.0,0,1,0,
1627024703.307,,50000.0,50.87454,0.03464069,0.0,3,0.9970937,0.0,,,,,,,,,,,,,,32,1,4.0,0.3824577,0.0,0,1,0,
1627024738.004,,50000.0,51.27938,0.03417536,0.0,3,0.9970457,0.0,,,,,,,,,,,,,,32,1,4.0,0.3896713,0.0,0,1,0,
1627024775.58,,50000.0,51.69164,0.03373623,0.0,3,0.9969957,0.0,,,,,,,,,,,,,,32,1,4.0,0.3472099,0.0,0,1,0,
1627024819.708,,50000.0,52.19564,0.03320706,0.0,3,0.99699,0.0,,,,,,,,,,,,,,32,1,4.0,0.3667793,0.0,0,1,0,
1627024863.783,,50000.0,52.69121,0.03273178,0.0,3,0.9969195,0.0,,,,,,,,,,,,,,32,1,4.0,0.3134003,0.0,0,1,0,
1627024910.817,,50000.0,53.19139,0.03220001,0.0,3,0.9970273,0.0,,,,,,,,,,,,,,32,1,4.0,0.3791199,0.0,0,1,0,
1627024956.709,,50000.0,53.7262,0.03169802,0.0,3,0.9970317,0.0,,,,,,,,,,,,,,32,1,4.0,0.30373,0.0,0,1,0,
1627024997.452,,50000.0,54.18532,0.03127588,0.0,3,0.9970251,0.0,,,,,,,,,,,,,,32,1,4.0,0.3499565,0.0,0,1,0,
1627025043.181,,50000.0,54.69881,0.03080993,0.0,3,0.9968597,0.0,,,,,,,,,,,,,,32,1,4.0,0.3600616,0.0,0,1,0,
1627025086.724,,50000.0,55.19307,0.0303859,0.0,3,0.9970603,0.0,,,,,,,,,,,,,,32,1,4.0,0.3722916,0.0,0,1,0,
1627025133.28,,50000.0,55.69748,0.02995812,0.0,3,0.9970065,0.0,,,,,,,,,,,,,,32,1,4.0,0.3936195,0.0,0,1,0,
1627025179.275,,50000.0,56.23337,0.02953346,0.0,3,0.9970846,0.0,,,,,,,,,,,,,,32,1,4.0,0.3869972,0.0,0,1,0,
1627025223.34,,50000.0,56.69698,0.02915006,0.0,3,0.9969567,0.0,,,,,,,,,,,,,,32,1,4.0,0.3340111,0.0,0,1,0,
1627025299.466,,50000.0,57.51648,0.02851553,0.0,3,0.9968199,0.0,,,,,,,,,,,,,,32,1,4.0,0.3726997,0.0,0,1,0,
1627025332.331,,50000.0,57.90177,0.02823551,0.0,3,0.9967387,0.0,,,,,,,,,,,,,,32,1,4.0,0.3373222,0.0,0,1,0,
1627025367.359,,50000.0,58.31701,0.02796548,0.0,3,0.9968286,0.0,,,,,,,,,,,,,,32,1,4.0,0.4507599,0.0,0,1,0,
1627025401.063,,50000.0,58.70308,0.02769764,0.0,3,0.9968587,0.0,,,,,,,,,,,,,,32,1,4.0,0.2544479,0.0,0,1,0,
1627025449.096,,50000.0,59.24648,0.02740367,0.0,3,0.9968655,0.0,,,,,,,,,,,,,,32,1,4.0,0.3049889,0.0,0,1,0,
1627025490.859,,50000.0,59.6925,0.02699013,0.0,3,0.9968624,0.0,,,,,,,,,,,,,,32,1,4.0,0.3808098,0.0,0,0,0,
1627025679.911,,50000.0,60.04122,0.02674595,0.0,3,0.9969689,0.0,,,,,,,,,,,,,,32,1,4.0,0.08744049,0.0,0,0,0,
1627057173.69,,40000.0,10.01075,0.0670621,0.0,3,0.9973997,0.0,,,,,,,,,,,,,,32,1,4.0,0.004489899,0.0,0,1,0,
1627057259.861,,40000.0,10.68694,0.0669841,0.0,3,0.9969859,0.0,,,,,,,,,,,,,,32,1,4.0,0.3322105,0.0,0,1,0,
1627057309.276,,40000.0,11.19398,0.06705757,0.0,3,0.9973626,0.0,,,,,,,,,,,,,,32,1,4.0,0.3466597,0.0,0,0,0,
1627057355.431,,40000.0,11.69055,0.06704859,0.0,3,0.9974369,0.0,,,,,,,,,,,,,,32,1,4.0,0.3262997,0.0,0,0,0,
1627057401.306,,40000.0,12.1507,0.06705455,0.0,3,0.9974532,0.0,,,,,,,,,,,,,,32,1,4.0,0.2939997,0.0,0,0,0,
1627057450.311,,40000.0,12.69328,0.06704108,0.0,3,0.9975473,0.0,,,,,,,,,,,,,,32,1,4.0,0.3693304,0.0,0,0,0,
1627057496.016,,40000.0,13.19169,0.06702621,0.0,3,0.9974923,0.0,,,,,,,,,,,,,,32,1,4.0,0.3575296,0.0,0,0,0,
1627057541.871,,40000.0,13.71356,0.06703047,0.0,3,0.9974537,0.0,,,,,,,,,,,,,,32,1,4.0,0.3727598,0.0,0,0,0,
1627057584.747,,40000.0,14.20017,0.06700411,0.0,3,0.9974887,0.0,,,,,,,,,,,,,,32,1,4.0,0.3939199,0.0,0,0,0,
1627057629.582,,40000.0,14.69502,0.06700601,0.0,3,0.997395,0.0,,,,,,,,,,,,,,32,1,4.0,0.3797293,0.0,0,0,0,
1627057676.957,,40000.0,15.21799,0.06697535,0.0,3,0.9974143,0.0,,,,,,,,,,,,,,32,1,4.0,0.3814392,0.0,0,0,0,
1627057720.612,,40000.0,15.7131,0.06696772,0.0,3,0.9974196,0.0,,,,,,,,,,,,,,32,1,4.0,0.3986597,0.0,0,0,0,
1627057762.638,,40000.0,16.18559,0.06686274,0.0,3,0.9959522,0.0,,,,,,,,,,,,,,32,1,4.0,0.3689404,0.0,0,0,0,
1627057806.563,,40000.0,16.68855,0.06690845,0.0,3,0.9974679,0.0,,,,,,,,,,,,,,32,1,4.0,0.36763,0.0,0,0,0,
1627057850.569,,40000.0,17.16953,0.06689792,0.0,3,0.9975078,0.0,,,,,,,,,,,,,,32,1,4.0,0.3048611,0.0,0,0,0,
1627057900.693,,40000.0,17.71223,0.06684694,0.0,3,0.9975963,0.0,,,,,,,,,,,,,,32,1,4.0,0.3945999,0.0,0,0,0,
1627057943.569,,40000.0,18.19853,0.0668212,0.0,3,0.9976988,0.0,,,,,,,,,,,,,,32,1,4.0,0.3423195,0.0,0,0,0,
1627057989.294,,40000.0,18.70475,0.06678136,0.0,3,0.9974988,0.0,,,,,,,,,,,,,,32,1,4.0,0.3728085,0.0,0,0,0,
1627058031.67,,40000.0,19.19665,0.06649312,0.0,3,0.9965321,0.0,,,,,,,,,,,,,,32,1,4.0,0.3819008,0.0,0,1,0,
1627058075.855,,40000.0,19.72628,0.06669113,0.0,3,0.9976931,0.0,,,,,,,,,,,,,,32,1,4.0,0.4372501,0.0,0,1,0,
1627058119.77,,40000.0,20.20059,0.06661825,0.0,3,0.9975405,0.0,,,,,,,,,,,,,,32,1,4.0,0.3600597,0.0,0,1,0,
1627058163.956,,40000.0,20.68075,0.06656057,0.0,3,0.9976287,0.0,,,,,,,,,,,,,,32,1,4.0,0.39394,0.0,0,1,0,
1627058208.901,,40000.0,21.19204,0.06649743,0.0,3,0.9974598,0.0,,,,,,,,,,,,,,32,1,4.0,0.3657894,0.0,0,1,0,
1627058254.586,,40000.0,21.70428,0.06642986,0.0,3,0.9975569,0.0,,,,,,,,,,,,,,32,1,4.0,0.3410912,0.0,0,1,0,
1627058297.052,,40000.0,22.18285,0.06635354,0.0,3,0.9974684,0.0,,,,,,,,,,,,,,32,1,4.0,0.3363705,0.0,0,1,0,
1627058346.717,,40000.0,22.7091,0.06640499,0.0,3,0.9970849,0.0,,,,,,,,,,,,,,32,1,4.0,0.3805313,0.0,0,1,0,
1627058383.913,,40000.0,23.17897,0.06617318,0.0,3,0.9974532,0.0,,,,,,,,,,,,,,32,1,4.0,0.3041897,0.0,0,1,0,
1627058429.748,,40000.0,23.66885,0.06607845,0.0,3,0.9975502,0.0,,,,,,,,,,,,,,32,1,4.0,0.3030109,0.0,0,1,0,
1627058473.823,,40000.0,24.17536,0.06599416,0.0,3,0.9975368,0.0,,,,,,,,,,,,,,32,1,4.0,0.2529202,0.0,0,1,0,
1627058516.799,,40000.0,24.67393,0.06586267,0.0,3,0.9974974,0.0,,,,,,,,,,,,,,32,1,4.0,0.3385201,0.0,0,1,0,
1627058560.134,,40000.0,25.16774,0.06575834,0.0,3,0.9975558,0.0,,,,,,,,,,,,,,32,1,4.0,0.3273201,0.0,0,1,0,
1627058605.979,,40000.0,25.687,0.06564074,0.0,3,0.9975197,0.0,,,,,,,,,,,,,,32,1,4.0,0.3251514,0.0,0,1,0,
1627058651.724,,40000.0,26.16829,0.06551683,0.0,3,0.997503,0.0,,,,,,,,,,,,,,32,1,4.0,0.30966,0.0,0,1,0,
1627058699.779,,40000.0,26.70617,0.06538182,0.0,3,0.9974782,0.0,,,,,,,,,,,,,,32,1,4.0,0.3708706,0.0,0,1,0,
